Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","256","Luxembourg","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","72","","Donnée officielle"
"TA","Animaux vivants","129","Madagascar","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","35","","Donnée officielle"
"TA","Animaux vivants","129","Madagascar","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","60","","Donnée officielle"
"TA","Animaux vivants","131","Malaisie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","51297","","Donnée officielle"
"TA","Animaux vivants","131","Malaisie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","55822","","Donnée officielle"
"TA","Animaux vivants","130","Malawi","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","124","","Donnée officielle"
"TA","Animaux vivants","133","Mali","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1180","","Donnée officielle"
"TA","Animaux vivants","133","Mali","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3","*","Chiffre non officiel"
"TA","Animaux vivants","143","Maroc","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","24","","Donnée officielle"
"TA","Animaux vivants","143","Maroc","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","7","","Donnée officielle"
"TA","Animaux vivants","137","Maurice","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","407","","Donnée officielle"
"TA","Animaux vivants","137","Maurice","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","612","","Donnée officielle"
"TA","Animaux vivants","273","Monténégro","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","145","","Donnée officielle"
"TA","Animaux vivants","273","Monténégro","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","126","","Donnée officielle"
"TA","Animaux vivants","28","Myanmar","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","4","","Donnée officielle"
"TA","Animaux vivants","28","Myanmar","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","7","","Donnée officielle"
"TA","Animaux vivants","147","Namibie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","147","Namibie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","157","Nicaragua","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","20","","Donnée officielle"
"TA","Animaux vivants","156","Nouvelle-Zélande","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2130","","Donnée officielle"
"TA","Animaux vivants","156","Nouvelle-Zélande","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","1996","","Donnée officielle"
"TA","Animaux vivants","221","Oman","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","32","","Donnée officielle"
"TA","Animaux vivants","221","Oman","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","13","","Donnée officielle"
"TA","Animaux vivants","226","Ouganda","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","22","","Donnée officielle"
"TA","Animaux vivants","226","Ouganda","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","55","","Donnée officielle"
"TA","Animaux vivants","235","Ouzbékistan","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","286","","Donnée officielle"
