Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","143","Maroc","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","167","","Donnée officielle"
"TA","Animaux vivants","137","Maurice","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","565","","Donnée officielle"
"TA","Animaux vivants","137","Maurice","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","721","","Donnée officielle"
"TA","Animaux vivants","273","Monténégro","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","71","","Donnée officielle"
"TA","Animaux vivants","273","Monténégro","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","62","","Donnée officielle"
"TA","Animaux vivants","28","Myanmar","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","480","","Donnée officielle"
"TA","Animaux vivants","28","Myanmar","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","278","","Donnée officielle"
"TA","Animaux vivants","147","Namibie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","0","","Donnée officielle"
"TA","Animaux vivants","147","Namibie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1","","Donnée officielle"
"TA","Animaux vivants","157","Nicaragua","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","37","","Donnée officielle"
"TA","Animaux vivants","156","Nouvelle-Zélande","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","20771","","Donnée officielle"
"TA","Animaux vivants","156","Nouvelle-Zélande","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","21756","","Donnée officielle"
"TA","Animaux vivants","221","Oman","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","66","","Donnée officielle"
"TA","Animaux vivants","221","Oman","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","58","","Donnée officielle"
"TA","Animaux vivants","226","Ouganda","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","12","","Donnée officielle"
"TA","Animaux vivants","226","Ouganda","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","29","","Donnée officielle"
"TA","Animaux vivants","235","Ouzbékistan","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","127","","Donnée officielle"
"TA","Animaux vivants","165","Pakistan","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","3806","","Donnée officielle"
"TA","Animaux vivants","165","Pakistan","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","8318","","Donnée officielle"
"TA","Animaux vivants","166","Panama","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","17","*","Chiffre non officiel"
"TA","Animaux vivants","166","Panama","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","167","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","150","Pays-Bas","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","373088","","Donnée officielle"
"TA","Animaux vivants","150","Pays-Bas","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","369697","","Donnée officielle"
"TA","Animaux vivants","170","Pérou","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","310","","Donnée officielle"
"TA","Animaux vivants","170","Pérou","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","187","","Donnée officielle"
"TA","Animaux vivants","171","Philippines","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","410","","Donnée officielle"
"TA","Animaux vivants","171","Philippines","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","58","","Donnée officielle"
"TA","Animaux vivants","173","Pologne","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","19313","","Donnée officielle"
"TA","Animaux vivants","173","Pologne","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","27889","","Donnée officielle"
"TA","Animaux vivants","174","Portugal","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","20607","","Donnée officielle"
"TA","Animaux vivants","174","Portugal","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","22367","","Donnée officielle"
"TA","Animaux vivants","117","République de Corée","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","68","","Donnée officielle"
"TA","Animaux vivants","117","République de Corée","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","66","","Donnée officielle"
"TA","Animaux vivants","250","République démocratique du Congo","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","120","République démocratique populaire lao","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","122","","Donnée officielle"
"TA","Animaux vivants","120","République démocratique populaire lao","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","216","","Donnée officielle"
"TA","Animaux vivants","56","République dominicaine","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","6831","","Donnée officielle"
"TA","Animaux vivants","56","République dominicaine","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","9333","","Donnée officielle"
"TA","Animaux vivants","215","République-Unie de Tanzanie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","350","","Donnée officielle"
"TA","Animaux vivants","215","République-Unie de Tanzanie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1","","Donnée officielle"
"TA","Animaux vivants","183","Roumanie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","30777","","Donnée officielle"
"TA","Animaux vivants","183","Roumanie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","38322","","Donnée officielle"
"TA","Animaux vivants","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","136834","","Donnée officielle"
"TA","Animaux vivants","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","155604","","Donnée officielle"
"TA","Animaux vivants","184","Rwanda","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","3","","Donnée officielle"
"TA","Animaux vivants","184","Rwanda","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","95","","Donnée officielle"
"TA","Animaux vivants","195","Sénégal","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","129","","Donnée officielle"
"TA","Animaux vivants","195","Sénégal","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","9","","Donnée officielle"
"TA","Animaux vivants","272","Serbie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","2143","","Donnée officielle"
"TA","Animaux vivants","272","Serbie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2352","","Donnée officielle"
"TA","Animaux vivants","199","Slovaquie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","36380","","Donnée officielle"
"TA","Animaux vivants","199","Slovaquie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","35018","","Donnée officielle"
"TA","Animaux vivants","198","Slovénie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1731","","Donnée officielle"
"TA","Animaux vivants","198","Slovénie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2047","","Donnée officielle"
"TA","Animaux vivants","38","Sri Lanka","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","861","","Donnée officielle"
"TA","Animaux vivants","38","Sri Lanka","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","13","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","210","Suède","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","14212","","Donnée officielle"
"TA","Animaux vivants","210","Suède","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","15026","","Donnée officielle"
"TA","Animaux vivants","211","Suisse","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","832","","Donnée officielle"
"TA","Animaux vivants","211","Suisse","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","728","","Donnée officielle"
"TA","Animaux vivants","207","Suriname","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","8","","Donnée officielle"
"TA","Animaux vivants","167","Tchéquie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","61147","","Donnée officielle"
"TA","Animaux vivants","167","Tchéquie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","63302","","Donnée officielle"
"TA","Animaux vivants","216","Thaïlande","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","9362","","Donnée officielle"
"TA","Animaux vivants","216","Thaïlande","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","15169","","Donnée officielle"
"TA","Animaux vivants","223","Turquie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","30988","","Donnée officielle"
"TA","Animaux vivants","223","Turquie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","50959","","Donnée officielle"
"TA","Animaux vivants","230","Ukraine","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","52","","Donnée officielle"
"TA","Animaux vivants","237","Viet Nam","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","461","","Donnée officielle"
"TA","Animaux vivants","237","Viet Nam","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","563","","Donnée officielle"
"TA","Animaux vivants","251","Zambie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","3863","","Donnée officielle"
"TA","Animaux vivants","251","Zambie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","5412","","Donnée officielle"
"TA","Animaux vivants","181","Zimbabwe","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","653","","Donnée officielle"
"TA","Animaux vivants","181","Zimbabwe","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","148","","Donnée officielle"
